numero_alimento,descricao,triptofano_g,treonina_g,isoleucina_g,leucina_g,lisina_g,metionina_g,cistina_g,fenilalanina_g,tirosina_g,valina_g,arginina_g,histidina_g,alanina_g,acido_aspartico_g,acido_glutamico_g,glicina_g,prolina_g,serina_g,categoria
323,Apresuntado,0.1605788281858527,0.6715948002898285,0.7419811285209671,1.157377860701023,1.260165379041753,0.4456848011955437,0.24165121999818853,0.6935835096458653,0.590408075355493,0.7917058282764239,1.1870023892763333,0.7687371207318177,0.8634192373879174,1.3552252033330312,2.5419009265465076,0.7637044217009326,0.6668581423784076,0.6410515234127342,Carnes e derivados
424,Mortadela,0.13502373870120457,0.5746493016936871,0.6087471660175708,0.937777723938049,1.0547513812154694,0.3850672509736435,0.29581107671406576,0.5928567312743409,0.5225895400778914,0.66374985689702,1.0772642713522325,0.4772352306856262,0.8780891703650031,1.179454118286387,2.1555141300606824,0.9987976849923011,0.7402798505570147,0.6041650493614709,Carnes e derivados
438,"Presunto, com capa de gordura",0.11082853065845483,0.730056912643782,0.7100863393261477,1.169980113440811,1.347728405035775,0.4710915598677656,0.22880469253237923,0.6715207168734714,0.5774654299882256,0.7378413606104518,1.221720200842315,0.91158534847387,0.9040658162756993,1.4075891796485822,2.3941966359478304,0.8137091610814234,0.7039423313105696,0.6813939237840773,Carnes e derivados
439,"Presunto, sem capa de gordura",0.1504161878453038,0.7080174658092561,0.6856551637079972,1.1502603559460185,1.2775905715062035,0.4772202823566704,0.21713232485734976,0.6331220688796302,0.5493728799474683,0.7246797484376412,1.2009887424146355,0.8932680986776554,0.8839943992844845,1.3668432275156228,2.358256191264377,0.7284231781541523,0.6472291703650029,0.6791153294538534,Carnes e derivados
441,"Quibe, cru",0.016999999999999998,0.351526,0.3956665,0.7841929999999998,0.9318889999999999,0.23497739999999998,0.041958550000000004,0.4638195,0.45350899999999994,0.4773600000000002,0.853145,0.4987715,0.6483885,0.9982315,2.1646525000000003,0.514505,0.474844,0.44653049999999994,Carnes e derivados
443,Salame,0.2830652836020287,1.2196391289285389,1.2115977255230501,2.017314811837695,0.0725678843333937,0.7906223735168915,0.34885237276967657,1.0832243410922922,0.9672284109229233,1.299107115523956,1.960735917942215,1.3001845584639071,1.612275103704374,2.338208854270446,4.242628669278144,1.5544873713884606,1.3834892930893936,1.1500520824653562,Carnes e derivados
463,"Queijo, mozarela",0.38050003453038667,1.048989930939226,1.3862102900552482,2.38208085635359,2.058984350828729,0.851619226519337,0.3580813549723756,1.2720015193370162,1.6137517679558007,1.7700756906077342,1.1273228314917125,0.8639909530386737,0.7940768093922651,1.7614646270718228,5.908172486187843,0.5524905372928175,2.7559676795580104,1.4979831767955798,Leite e derivados
467,"Queijo, prato",0.48048036301059677,1.0062956380762609,1.209489519971017,2.18808197898741,1.9366979702925455,0.8177352902816772,0.3604317643329407,1.134333476134408,1.4312490000905713,1.4711281731727197,1.1356962938139659,0.83893715877185,0.8100722334933428,1.6619449895842766,5.325042523322161,0.5558821608549949,2.7557513957069104,1.5432681450955525,Leite e derivados
468,Maria mole,0.0,0.032970789800000004,0.05463671006666667,0.10326566066666669,0.10458138333333333,0.02001702266666667,0.018584052133333334,0.06279339480000001,0.016296127133333338,0.06736500053333333,0.3270472733333334,0.030039858400000004,0.4109007193333334,0.227113362,0.4387696353333334,0.9878795933333334,0.5840880206666668,0.09003681200000002,Leite e derivados
501,"Doce, de leite, cremoso",0.0253935,0.22653438750000002,0.28408914,0.559793295,0.33656519249999994,0.11832845175,0.0176766975,0.22792333499999998,0.20868198749999997,0.3405973725,0.17515487249999998,0.06986187899999999,0.22217516999999998,0.44387966249999994,1.28488545,0.0905021775,0.57259008,0.2806687125,Produtos açucarados
506,Marmelada,0.19681282999999997,0.020495854733333336,0.0019266436133333334,0.008002058333333333,0.005505264913333333,0.0071083481333333335,0.014196785633333334,0.007280360883333333,0.02425442783333333,0.011964778433333332,0.022970570033333332,0.04154870313333334,0.010373187933333333,0.050482780733333336,0.010478285833333335,0.016619330033333334,0.008984232233333334,0.03700907873333333,Produtos açucarados
509,Quindim,0.0719648,0.212978675,0.22627333500000002,0.42154846000000007,0.32652982,0.10317744,0.0254593785,0.19525682,0.1607702,0.26351616499999997,0.481439805,0.061464267499999996,0.313452205,0.35927746499999996,0.7536168499999999,0.15521071,0.22471218,0.35835437000000003,Produtos açucarados
510,Rapadura,0.0224375,0.022748124999999998,0.0032324999999999997,0.008773999999999999,0.0109515625,0.00767375,0.02406875,0.0115631875,0.03488375,0.007621437499999999,0.03308125,0.062460625,0.00284295,0.160428125,0.0388159375,0.02391125,0.01812296875,0.0536546875,Produtos açucarados
580,"Pé-de-moleque, amendoim",0.06871577999999999,0.33511799999999997,0.504511854,0.97174266,0.47650793399999997,0.14191086,0.0908498262,0.754350618,0.537061434,0.581436366,1.87029024,0.254178708,0.6270024599999999,1.79765922,3.0880957799999997,0.9105985560000001,0.618860088,0.6851305019999999,Leguminosas e derivados
