numero_alimento,descricao,saturados_g,monoinsaturados_g,poliinsaturados_g,c12_0_g,c14_0_g,c16_0_g,c18_0_g,c20_0_g,c22_0_g,c24_0_g,c14_1_g,c16_1_g,c18_1_g,c20_1_g,c18_2n6_g,c18_3n3_g,c20_4_g,c20_5_g,c22_5_g,c22_6_g,c18_1t_g,c18_2t_g,categoria
398,"Frango, coxa, sem pele, cozida",2.0,2.1,1.1,,0.12,1.31,0.5,0.01,1e-05,,0.01,0.2,1.84,0.01,1.1,0.05,1e-05,1e-05,,,,,Carnes e derivados
399,"Frango, coxa, sem pele, crua",1.6,2.1,0.8,,0.03,1.19,0.4,1e-05,0.01,,,0.24,1.82,0.01,0.8,0.02,0.03,,,,0.01,,Carnes e derivados
400,"Frango, fígado, cru",1.3,0.7,0.6,1e-05,0.02,0.69,0.58,0.01,0.01,0.01,,0.05,0.58,0.01,0.38,0.01,0.13,,0.03,0.02,0.01,,Carnes e derivados
401,"Frango, filé, à milanesa",1.6,2.4,3.3,,0.02,1.09,0.44,0.03,0.04,0.02,,0.05,2.24,0.03,3.01,0.23,0.04,0.02,,,0.02,0.02,Carnes e derivados
402,"Frango, inteiro, com pele, cru",5.2,7.2,3.9,,0.11,3.94,1.01,0.02,0.03,,,0.88,6.31,0.03,3.57,0.2,0.07,,,,0.07,,Carnes e derivados
403,"Frango, inteiro, sem pele, assado",2.1,2.6,1.8,,0.04,1.48,0.57,0.01,1e-05,1e-05,0.01,0.19,2.36,0.02,1.73,0.09,1e-05,1e-05,,,0.1,0.02,Carnes e derivados
404,"Frango, inteiro, sem pele, cozido",2.2,2.5,1.5,,0.04,1.58,0.55,0.01,1e-05,,0.01,0.23,2.26,0.02,1.42,0.07,1e-05,1e-05,,,0.09,0.02,Carnes e derivados
405,"Frango, inteiro, sem pele, cru",1.4,1.9,1.0,,0.03,1.04,0.31,1e-05,0.01,,,0.23,1.63,0.01,0.92,0.04,0.05,,,,0.01,,Carnes e derivados
406,"Frango, peito, com pele, assado",2.2,2.7,1.8,,0.04,1.53,0.56,0.01,1e-05,1e-05,0.01,0.22,2.45,0.02,1.7,0.1,1e-05,1e-05,1e-05,,0.1,0.02,Carnes e derivados
407,"Frango, peito, com pele, cru",2.2,3.2,0.9,,0.06,1.66,0.46,0.01,0.01,,,0.44,2.75,0.03,0.8,0.03,0.03,,,,0.03,,Carnes e derivados
408,"Frango, peito, sem pele, cozido",1.1,1.1,0.6,,0.02,0.74,0.33,0.01,1e-05,1e-05,,0.07,0.98,0.01,0.53,0.02,1e-05,1e-05,,,0.04,0.01,Carnes e derivados
409,"Frango, peito, sem pele, cru",1.1,1.3,1e-05,,0.03,0.79,0.25,1e-05,0.01,,,0.16,1.16,0.01,1e-05,0.01,0.02,,,,0.01,,Carnes e derivados
410,"Frango, peito, sem pele, grelhado",0.9,0.9,0.3,,0.02,0.65,0.27,1e-05,1e-05,1e-05,,0.07,0.8,0.01,0.31,0.01,1e-05,1e-05,,,0.04,1e-05,Carnes e derivados
411,"Frango, sobrecoxa, com pele, assada",4.2,5.4,3.9,,0.07,3.08,1.02,0.01,1e-05,,0.02,0.5,4.8,0.04,3.64,0.21,1e-05,1e-05,,,0.19,0.04,Carnes e derivados
412,"Frango, sobrecoxa, com pele, crua",6.5,9.6,3.6,,0.12,4.96,1.31,0.02,0.02,,,1.13,8.44,0.02,3.41,0.12,0.08,,,,0.06,,Carnes e derivados
413,"Frango, sobrecoxa, sem pele, assada",3.3,4.2,3.1,,0.06,2.41,0.82,0.01,1e-05,,0.01,0.42,3.76,0.03,2.86,0.17,1e-05,1e-05,,,0.14,0.04,Carnes e derivados
414,"Frango, sobrecoxa, sem pele, crua",3.0,4.5,1.6,,0.06,2.3,0.61,0.01,0.02,,,0.57,3.87,0.02,1.45,0.04,0.05,,,,0.03,,Carnes e derivados
415,"Hambúrguer, bovino, cru",5.7,5.8,0.8,0.02,0.39,3.06,1.97,0.02,,,0.12,0.58,4.96,0.03,0.68,0.08,0.03,,,0.01,0.81,0.19,Carnes e derivados
416,"Hambúrguer, bovino, frito",5.9,6.0,3.7,,0.29,3.18,2.19,0.03,0.03,0.02,0.07,0.41,5.37,0.07,3.28,0.29,0.03,,0.02,,0.33,0.11,Carnes e derivados
417,"Hambúrguer, bovino, grelhado",5.1,4.8,1.2,,0.26,2.72,2.01,0.02,0.01,,0.05,0.42,4.25,0.02,1.08,0.1,0.04,0.02,,,0.3,0.06,Carnes e derivados
418,"Lingüiça, frango, crua",5.2,7.3,3.5,0.01,0.16,3.59,1.35,0.02,,,0.01,0.52,6.7,0.08,3.08,0.17,,,,,0.04,,Carnes e derivados
419,"Lingüiça, frango, frita",5.0,7.2,4.3,,0.14,3.46,1.33,0.03,,,,0.45,6.6,0.1,3.85,0.25,0.09,,,,0.04,,Carnes e derivados
420,"Lingüiça, frango, grelhada",4.7,6.8,3.4,,0.14,3.26,1.26,0.02,,,,0.44,6.2,0.09,3.0,0.17,0.09,,,,0.04,,Carnes e derivados
421,"Lingüiça, porco, crua",4.0,5.0,1.7,0.01,0.15,2.52,1.24,0.02,,,,0.25,4.66,0.08,1.48,0.05,0.06,,,,0.03,,Carnes e derivados
422,"Lingüiça, porco, frita",6.5,8.2,2.7,,0.25,4.17,2.01,0.03,,,,0.29,7.66,0.13,2.43,0.11,0.09,,,,0.03,,Carnes e derivados
423,"Lingüiça, porco, grelhada",7.0,8.7,2.6,,0.27,4.47,2.17,0.03,,,,0.44,8.07,0.13,2.35,0.1,0.1,,,,0.03,,Carnes e derivados
424,Mortadela,6.12,8.12,4.683333333333333,,0.16666666666666666,4.153333333333333,1.7433333333333334,,,,,0.5966666666666667,7.3566666666666665,0.12333333333333334,4.406666666666666,0.27666666666666667,,,,,,,Carnes e derivados
425,"Peru, congelado, assado",1.6,1.2,1.4,,0.03,1.1,0.47,0.02,1e-05,1e-05,,0.11,1.6,0.01,1.41,0.03,1e-05,1e-05,,,0.02,1e-05,Carnes e derivados
426,"Peru, congelado, cru",0.4,0.4,0.7,0.01,0.01,0.26,0.14,1e-05,0.01,,,0.03,0.41,1e-05,0.63,0.03,0.06,,,,,,Carnes e derivados
427,"Porco, bisteca, crua",3.5,3.9,1.2,0.01,0.13,2.17,1.12,0.02,,,,0.21,3.37,0.06,1.12,0.05,0.05,,,,,,Carnes e derivados
428,"Porco, bisteca, frita",5.974666666666666,6.581333333333333,4.563333333333333,0.05333333333333334,0.313,3.583,1.936,0.035333333333333335,0.018,0.018,,0.248,6.173666666666667,0.10633333333333334,4.066666666666666,0.31866666666666665,0.071,,0.018,,0.15966666666666665,0.05333333333333334,Carnes e derivados
429,"Porco, bisteca, grelhada",7.5,7.7,1.2,0.02,0.27,4.27,2.82,0.03,,,,0.31,7.14,0.13,1.03,0.03,0.03,,,,0.09,,Carnes e derivados
430,"Porco, costela, assada",11.8,13.9,3.1,,0.34,7.1,4.16,0.06,,,,0.63,12.9,0.23,2.75,0.12,0.09,,,,0.06,,Carnes e derivados
431,"Porco, costela, crua",7.4,8.3,2.3,0.02,0.28,4.59,2.42,0.03,,,,0.45,7.64,0.12,2.11,0.09,0.08,,,,,,Carnes e derivados
432,"Porco, lombo, assado",2.6,2.9,0.7,,0.08,1.54,0.97,0.01,,,,0.11,2.63,0.16,0.55,0.07,0.02,,,,0.02,,Carnes e derivados
433,"Porco, lombo, cru",3.3,3.7,1.0,0.01,0.12,2.08,1.0,0.02,,,,0.22,3.39,0.06,0.88,0.04,0.05,,,,,,Carnes e derivados
434,"Porco, orelha, salgada, crua",7.3,11.2,2.8,0.02,0.33,4.99,1.84,0.03,,,,0.9,10.15,0.19,2.58,0.11,0.09,,,,,,Carnes e derivados
435,"Porco, pernil, assado",4.8,6.4,1.9,,0.15,2.96,1.59,0.03,,,,0.29,5.91,0.11,1.66,0.05,0.11,,,,,,Carnes e derivados
436,"Porco, pernil, cru",4.2,5.0,1.7,0.01,0.16,2.58,1.29,0.02,0.02,,,0.26,4.64,0.09,1.51,0.06,0.08,,,,,,Carnes e derivados
437,"Porco, rabo, salgado, cru",11.6,16.7,4.3,,0.37,7.37,3.58,0.07,,,,0.78,15.49,0.3,3.85,0.16,0.07,,,,0.07,,Carnes e derivados
438,"Presunto, com capa de gordura",1.9466666666666665,2.5833333333333335,0.9966666666666667,,0.06,1.2233333333333334,0.63,0.01,,,,0.13,2.3866666666666663,0.05333333333333334,0.8666666666666666,0.036666666666666674,0.043333333333333335,,,,0.01,,Carnes e derivados
439,"Presunto, sem capa de gordura",0.8566666666666668,1.13,0.46,,0.02666666666666667,0.5466666666666666,0.27,,,,,0.06666666666666667,1.0433333333333332,0.016666666666666666,0.38333333333333336,0.013333333333333334,0.04,,,,,,Carnes e derivados
440,"Quibe, assado",1.232,0.9470000000000001,0.27399999999999997,,0.07666666666666666,0.6806666666666666,0.43333333333333335,,,,,0.06333333333333334,0.8736666666666667,,0.25066666666666665,0.023333333333333334,,,1e-05,,0.06066666666666667,,Carnes e derivados
441,"Quibe, cru",0.6499999999999999,0.6966666666666668,0.28,,0.03,0.35,0.24,,,,,0.056666666666666664,0.6333333333333334,0.006666666666666667,0.21,0.03,0.02,0.01,0.01,,0.03333333333333333,,Carnes e derivados
442,"Quibe, frito",4.577333333333334,5.025,4.998666666666666,,0.16133333333333333,2.502333333333333,1.6766666666666665,0.04033333333333333,0.04533333333333334,0.030333333333333334,0.025333333333333333,0.16633333333333333,4.7476666666666665,0.04533333333333334,4.5456666666666665,0.4076666666666666,0.030333333333333334,,,,0.18133333333333335,0.07533333333333332,Carnes e derivados
443,Salame,9.573333333333334,12.076666666666668,4.666666666666667,,0.33666666666666667,5.78,3.0933333333333337,0.05333333333333334,,,,0.5466666666666667,11.206666666666667,0.22666666666666666,4.226666666666667,0.19,0.03,,,,0.10333333333333333,,Carnes e derivados
444,"Toucinho, cru",17.7,20.1,10.1,0.06,0.75,11.42,5.21,0.09,,,,0.98,18.82,0.28,9.32,0.68,0.15,,,,0.21,,Carnes e derivados
445,"Toucinho, frito",20.0,26.2,14.6,,0.64,12.89,6.17,0.12,0.07,,,1.02,24.55,0.45,12.93,0.86,,,0.06,,0.33,0.25,Carnes e derivados
446,"Bebida láctea, pêssego",1.1,0.6,1e-05,0.05,0.19,0.54,0.25,1e-05,1e-05,,0.01,0.02,0.53,0.01,0.03,0.02,1e-05,,,,0.06,1e-05,Leite e derivados
447,Creme de Leite,11.82,5.1,0.45,0.49,1.91,5.58,2.3833333333333333,0.04,,,0.18333333333333335,0.3633333333333333,4.503333333333334,,0.32666666666666666,0.07,,,,,0.63,,Leite e derivados
448,"Iogurte, natural",1.8,0.9,0.1,0.07,0.3,0.91,0.4,0.01,1e-05,1e-05,0.02,0.04,0.83,0.01,0.06,0.03,1e-05,,1e-05,1e-05,,,Leite e derivados
449,"Iogurte, natural, desnatado",0.2,0.1,,0.01,0.03,0.1,0.05,,,,,,0.09,,1e-05,,,,,,0.01,,Leite e derivados
451,"Iogurte, sabor morango",1.4,0.7,0.1,0.07,0.26,0.7,0.29,1e-05,,,0.01,0.03,0.62,1e-05,0.05,0.02,1e-05,,1e-05,1e-05,,,Leite e derivados
452,"Iogurte, sabor pêssego",1.4,0.6,0.1,0.06,0.25,0.7,0.29,1e-05,1e-05,,0.01,0.03,0.59,1e-05,0.04,0.02,1e-05,,,,0.06,1e-05,Leite e derivados
453,"Leite, condensado",4.2,1.7,0.2,0.17,0.73,2.1,0.82,0.01,,,,0.14,1.47,0.02,0.1,0.04,,,,,0.2,0.03,Leite e derivados
454,"Leite, de cabra",2.4,0.8,0.1,0.1,0.29,1.0,0.6,0.01,1e-05,,,0.03,0.79,,0.11,0.01,0.01,,,,0.1,0.02,Leite e derivados
455,"Leite, de vaca, achocolatado",1.1,0.6,0.1,0.03,0.14,0.53,0.29,0.01,1e-05,1e-05,0.01,0.03,0.56,1e-05,0.11,0.01,1e-05,,,,0.19,0.03,Leite e derivados
456,"Leite, de vaca, desnatado, pó",0.6,0.2,1e-05,0.02,0.09,0.29,0.12,1e-05,0.01,1e-05,0.01,0.02,0.2,,0.03,1e-05,1e-05,,,,0.02,1e-05,Leite e derivados
458,"Leite, de vaca, integral",1.4,0.7,0.1,0.06,0.25,0.71,0.29,,,,0.01,0.03,0.65,,0.04,0.02,,,1e-05,1e-05,,,Leite e derivados
459,"Leite, de vaca, integral, pó",16.3,7.1,0.5,0.58,2.62,8.11,3.48,0.05,,0.03,0.15,0.56,6.25,0.05,0.41,0.1,,,,,0.84,0.1,Leite e derivados
461,"Queijo, minas, frescal",11.4,5.8,0.4,0.41,1.73,5.78,2.53,0.04,0.02,0.02,0.16,0.39,5.14,0.04,0.28,0.06,0.02,,,,0.54,0.12,Leite e derivados
462,"Queijo, minas, meia cura",13.226666666666667,5.586666666666666,0.33666666666666667,0.5533333333333333,2.1266666666666665,6.15,2.586666666666667,0.05,,,0.23,0.4566666666666666,4.82,,0.23666666666666666,0.1,,,,,0.9866666666666667,,Leite e derivados
463,"Queijo, mozarela",14.233333333333334,5.95,0.49666666666666665,0.6133333333333333,2.3733333333333335,6.656666666666666,3.02,,,,0.22,0.43333333333333335,5.223333333333334,,0.30666666666666664,0.077,,,,,0.8566666666666666,,Leite e derivados
464,"Queijo, parmesão",19.7,8.7,0.4,0.7,3.26,10.07,4.24,0.06,0.03,0.03,0.32,0.63,7.67,0.03,0.29,0.11,0.03,,,,1.01,0.16,Leite e derivados
465,"Queijo, pasteurizado",15.9,7.3,0.4,0.58,2.58,8.05,3.38,0.05,,,0.23,0.49,6.45,0.05,0.33,0.08,,,,,0.85,0.18,Leite e derivados
466,"Queijo, petit suisse, morango",1.6,0.8,1e-05,0.05,0.23,0.81,0.4,0.01,,,0.02,0.05,0.76,,0.04,0.01,,,,,0.09,,Leite e derivados
467,"Queijo, prato",16.286666666666665,6.776666666666666,0.53,0.7133333333333334,2.6733333333333333,7.593333333333334,3.1633333333333336,,,,0.27,0.5133333333333333,5.906666666666666,,0.42333333333333334,0.10666666666666667,,,,,0.87,,Leite e derivados
468,"Queijo, requeijão, cremoso",13.7,6.4,0.3,0.52,2.26,7.16,2.72,0.04,0.04,0.02,0.24,0.5,5.54,0.04,0.24,0.07,,,,,0.55,0.11,Leite e derivados
469,"Queijo, ricota",4.5,2.4,0.2,0.15,0.66,2.28,1.06,0.02,0.02,0.02,0.06,0.15,2.16,0.02,0.14,0.02,0.01,,,,0.21,0.04,Leite e derivados
484,"Omelete, de queijo",6.397999999999999,6.987666666666666,6.198,0.08333333333333333,0.423,4.201,1.5596666666666668,0.04133333333333333,0.04833333333333334,0.021,0.04133333333333333,0.25666666666666665,6.6066666666666665,0.04833333333333334,5.525,0.444,0.14566666666666664,,,0.04133333333333333,0.14566666666666664,,Ovos e derivados
485,"Ovo, de codorna, inteiro, cru",8.9,12.1,2.7,1e-05,0.13,6.39,2.31,0.01,0.03,,0.03,1.07,11.01,0.03,2.2,0.1,0.44,,,,0.04,0.07,Ovos e derivados
487,"Ovo, de galinha, gema, cozida/10minutos",9.2,12.1,4.0,,0.08,6.56,2.43,,0.03,,,0.67,11.29,0.07,3.25,0.05,0.44,,,0.1,0.05,0.03,Ovos e derivados
488,"Ovo, de galinha, inteiro, cozido/10minutos",2.9,3.8,1.1,,0.02,2.07,0.76,,0.01,,,0.21,3.51,0.02,0.94,0.02,0.12,,,0.02,0.02,,Ovos e derivados
489,"Ovo, de galinha, inteiro, cru",2.6,3.6,1.2,,0.02,1.87,0.69,,0.01,0.01,,0.23,3.33,0.01,0.88,0.02,0.14,,0.05,0.04,,,Ovos e derivados
490,"Ovo, de galinha, inteiro, frito",4.1163333333333325,5.727000000000001,4.913333333333332,,0.03,2.945,1.0513333333333332,0.015,0.03,0.015,,0.22799999999999998,5.449000000000001,0.035,4.343,0.332,0.17366666666666664,,,0.034666666666666665,0.015,,Ovos e derivados
491,"Achocolatado, pó",1.1,0.6,0.3,1e-05,0.02,0.51,0.55,0.02,0.01,1e-05,,0.01,0.62,,0.29,0.03,,,,,0.01,,Produtos açucarados
495,"Chocolate, ao leite",17.5,10.0,0.9,0.09,0.34,7.46,9.12,0.26,0.03,,,0.14,9.75,0.06,0.91,0.03,,,,,0.17,0.1,Produtos açucarados
496,"Chocolate, ao leite, com castanha do Pará",14.1,9.3,3.2,0.1,0.33,6.24,6.73,0.2,0.04,0.02,,0.09,9.14,,3.09,0.07,,,,,0.2,,Produtos açucarados
497,"Chocolate, ao leite, dietético",19.2,11.4,1.5,0.06,0.22,8.08,10.29,0.31,0.06,0.03,,0.1,11.32,,1.41,0.1,,,,,0.18,,Produtos açucarados
498,"Chocolate, meio amargo",13.1,8.1,1.0,0.01,0.06,5.61,7.08,0.21,0.04,0.02,,0.05,8.03,0.01,0.94,0.06,,,,,0.14,,Produtos açucarados
499,Cocada branca,8.4,0.4,0.1,4.56,1.56,0.61,0.2,,,,,,0.36,,0.07,,,,,,,,Produtos açucarados
500,"Doce, de abóbora, cremoso",1e-05,1e-05,1e-05,1e-05,1e-05,0.02,1e-05,1e-05,,1e-05,,,0.02,,0.01,0.01,,,,,,,Produtos açucarados
501,"Doce, de leite, cremoso",1.3166666666666667,3.86,1.95,,,0.73,0.16666666666666666,0.08333333333333333,0.20333333333333337,0.12666666666666668,,,3.74,0.10666666666666667,1.94,0.01,,,,,,,Produtos açucarados
502,"Geléia, mocotó, natural",1e-05,1e-05,1e-05,,,1e-05,1e-05,,,,,,1e-05,,1e-05,,,,,,,,Produtos açucarados
509,Quindim,11.326666666666666,4.753333333333333,4.696666666666666,4.096666666666667,1.6,2.97,1.4733333333333334,0.04,0.03666666666666667,,,0.16333333333333333,4.55,0.043333333333333335,4.186666666666667,0.35,0.10666666666666667,,,,0.05,,Produtos açucarados
511,"Café, pó, torrado",5.3,1.1,4.9,,0.01,4.04,0.95,0.29,0.06,,,0.01,1.11,0.02,4.82,0.11,,,,,,,Miscelâneas
512,"Capuccino, pó",4.0,1.6,0.1,0.27,0.59,1.73,0.95,0.02,0.02,,0.05,0.1,1.5,,0.11,0.04,,,,,0.55,0.04,Miscelâneas
518,Shoyu,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,,1e-05,,,,0.01,,0.01,1e-05,,,,,,,Miscelâneas
520,"Azeitona, preta, conserva",3.5,11.0,3.0,,,2.87,0.47,0.08,0.02,0.01,,0.29,10.57,0.04,2.77,0.19,,,,,,,Outros alimentos industrializados
521,"Azeitona, verde, conserva",2.3,8.3,1.0,,,1.93,0.29,0.05,0.01,0.01,,0.18,8.07,0.03,0.91,0.13,,,,,,,Outros alimentos industrializados
522,"Chantilly, spray, com gordura vegetal",25.9,0.1,0.1,10.7,3.64,2.63,7.46,0.08,,0.03,,,0.05,1e-05,0.08,,,,,,,,Outros alimentos industrializados
523,"Leite, de coco",15.6,0.9,0.2,8.25,2.99,1.33,0.51,0.01,,,,,0.92,,0.17,,,,,,,,Outros alimentos industrializados
524,"Maionese, tradicional com ovos",4.1,6.4,15.4,,0.02,2.84,0.37,0.08,0.11,0.04,,0.04,6.24,0.14,13.86,1.43,,,,,,0.17,Outros alimentos industrializados
525,Acarajé,9.1,7.8,2.1,0.1,0.16,7.71,1.05,0.07,0.02,,,,7.81,,2.01,0.12,,,,,,,Alimentos preparados
526,Arroz carreteiro,3.2,3.0,0.2,,0.19,1.61,1.29,0.01,,,0.04,0.24,2.64,0.01,0.16,0.03,0.01,,0.01,,0.18,0.03,Alimentos preparados
527,"Baião de dois, arroz e feijão-de-corda",0.6,1.0,1.5,,1e-05,0.42,0.13,0.01,0.01,1e-05,,0.02,0.95,1e-05,1.36,0.13,1e-05,1e-05,,1e-05,,0.01,Alimentos preparados
528,Barreado,3.327,4.264666666666666,1.4093333333333333,,0.11533333333333333,2.045,1.106,1e-05,,,,0.20033333333333334,3.964666666666666,0.05433333333333334,1.2366666666666666,0.064,0.04533333333333334,1e-05,0.018,,0.057333333333333326,,Alimentos preparados
529,"Bife à cavalo, com contra filé",7.938000000000001,8.195266666666665,3.2616666666666663,,0.38400000000000006,4.5889999999999995,2.6346666666666665,0.03366666666666667,0.03366666666666667,,0.10133333333333334,0.5732666666666666,7.3183333333333325,0.04733333333333334,2.8836666666666666,0.263,0.07433333333333333,,0.02033333333333333,0.02033333333333333,0.4040000000000001,,Alimentos preparados
530,Bolinho de arroz,1.8,2.5,3.5,,0.02,1.26,0.44,0.02,0.03,0.02,,0.05,2.39,0.05,3.22,0.24,0.04,,1e-05,1e-05,1e-05,0.06,Alimentos preparados
531,Camarão à baiana,1.6423333333333332,0.903,1.5246666666666664,1.3483333333333334,0.618,0.7203333333333334,0.27,0.017,0.017,,,0.013,0.89,,1.3253333333333333,0.12566666666666668,0.011000000000000001,0.02866666666666667,,0.034,,,Alimentos preparados
532,"Charuto, de repolho",0.46299999999999997,0.4716666666666667,0.09733333333333334,,0.015666666666666666,0.239,0.19766666666666666,,,,,0.029666666666666664,0.442,,0.082,0.015333333333333332,,,,,0.026333333333333334,,Alimentos preparados
533,"Cuscuz, de milho, cozido com sal",0.2,0.2,0.3,,,0.15,0.02,1e-05,,,,,0.22,,0.26,1e-05,,,,,,,Alimentos preparados
534,"Cuscuz, paulista",1.8,1.8,0.8,0.03,0.15,1.12,0.41,0.01,0.02,0.01,0.01,0.07,1.64,,0.69,0.1,1e-05,,,,0.04,1e-05,Alimentos preparados
535,"Cuxá, molho",0.5883333333333334,1.2663333333333333,1.548,,0.0033333333333333335,0.37200000000000005,0.17533333333333334,0.018333333333333337,0.011333333333333334,0.004666666666666667,,0.010333333333333333,1.248,0.008,1.444,0.056,1e-05,0.01933333333333333,,0.024000000000000004,,0.017333333333333336,Alimentos preparados
536,Dobradinha,2.5,1.2,0.1,1e-05,0.11,1.06,1.19,0.02,0.02,0.01,1e-05,0.09,1.11,1e-05,0.07,0.01,0.03,,0.02,,0.18,0.02,Alimentos preparados
537,Estrogonofe de carne,5.255666666666667,3.322,0.8563333333333334,0.124,0.6503333333333333,2.808666666666667,1.57,0.017,0.020666666666666667,,0.04133333333333333,0.19266666666666668,2.998666666666667,0.017,0.7366666666666667,0.079,0.020666666666666667,,0.01,,0.26166666666666666,0.01,Alimentos preparados
538,Estrogonofe de frango,3.692,2.239666666666667,1.0146666666666666,0.11666666666666665,0.5433333333333333,2.093666666666667,0.9313333333333333,0.015,0.01,1e-05,0.030333333333333334,0.10166666666666667,2.045,0.015,0.911,0.06566666666666666,0.038,,1e-05,,0.18533333333333335,0.01,Alimentos preparados
539,Feijão tropeiro mineiro,2.16,2.8666666666666667,1.5266666666666666,,0.06333333333333334,1.3933333333333333,0.6733333333333333,,,,,0.13,2.6933333333333334,0.043333333333333335,1.25,0.19333333333333336,0.04666666666666667,,,,,,Alimentos preparados
540,Feijoada,1.9233333333333333,2.5866666666666664,1.5833333333333335,,0.06666666666666667,1.2533333333333332,0.5833333333333334,,,,,0.13,2.413333333333333,0.043333333333333335,1.35,0.18,0.02,,,,,,Alimentos preparados
541,"Frango, com açafrão",1.6100000000000003,2.508333333333333,1.7930000000000001,,0.03133333333333333,1.2386666666666668,0.34,1e-05,1e-05,,1e-05,0.25933333333333336,2.231333333333333,0.017666666666666667,1.5673333333333332,0.11233333333333334,0.03333333333333333,,1e-05,,0.012000000000000002,,Alimentos preparados
542,"Macarrão, molho bolognesa",0.271,0.26466666666666666,0.28833333333333333,,1e-05,0.205,0.066,1e-05,1e-05,,,0.011666666666666665,0.253,1e-05,0.275,0.013333333333333334,,1e-05,,,1e-05,1e-05,Alimentos preparados
543,Maniçoba,2.893333333333333,3.676,1.6736666666666664,,0.083,1.7323333333333333,1.0090000000000001,0.017,0.008,,,0.158,3.4180000000000006,0.07500000000000001,1.4109999999999998,0.155,0.03566666666666667,,,,0.038666666666666676,,Alimentos preparados
544,Quibebe,1.0423333333333333,1.1053333333333333,0.23999999999999996,,0.075,0.6103333333333333,0.316,1e-05,,1e-05,0.02666666666666667,0.11,0.948,1e-05,0.17699999999999996,0.063,1e-05,1e-05,1e-05,,0.058666666666666666,1e-05,Alimentos preparados
545,"Salada, de legumes, com maionese",1.0943333333333334,1.7673333333333334,3.8153333333333337,,,0.7873333333333333,0.26,0.02,0.027,1e-05,,1e-05,1.7473333333333334,0.02,3.4586666666666672,0.35666666666666663,,,,,,0.013333333333333334,Alimentos preparados
546,"Salada, de legumes, cozida no vapor",0.06233333333333334,1e-05,0.1623333333333333,,,0.052333333333333336,0.01,1e-05,,,,1e-05,0.021,,0.07233333333333332,0.07666666666666666,,,,,,,Alimentos preparados
547,"Salpicão, de frango",1.3389999999999997,2.080666666666666,3.9976666666666665,,1e-05,0.9273333333333333,0.337,0.022333333333333334,0.03733333333333333,0.015,,0.03733333333333333,2.0209999999999995,0.022333333333333334,3.6003333333333334,0.36,0.03733333333333333,,,,,0.015,Alimentos preparados
548,Sarapatel,1.3929999999999998,1.106,0.718,,0.024000000000000004,0.7559999999999999,0.5566666666666666,0.016333333333333335,0.009333333333333334,0.018666666666666668,,0.029333333333333333,1.0423333333333333,0.013333333333333334,0.614,0.027666666666666662,0.043333333333333335,1e-05,,,1e-05,,Alimentos preparados
549,Tabule,0.21,0.83,0.23333333333333336,,,0.17666666666666667,0.03333333333333333,,,,,0.01,0.82,,0.20333333333333337,0.03,,,,,,,Alimentos preparados
550,Tacacá,0.1756666666666667,0.12833333333333335,1e-05,,0.0023333333333333335,0.10366666666666667,0.050333333333333334,0.004333333333333334,0.005666666666666667,,,0.006333333333333334,0.11933333333333333,1e-05,0.027999999999999997,,,,,,,,Alimentos preparados
551,"Tapioca, com manteiga",6.045333333333334,2.963,0.18766666666666665,0.24666666666666667,1.0773333333333335,3.379,1.3836666666666666,0.021,,,0.08366666666666667,0.17766666666666664,2.638666666666667,0.021,0.16666666666666666,0.021,,,,,0.2956666666666667,0.03133333333333333,Alimentos preparados
552,"Tucupi, com pimenta-de-cheiro",0.06133333333333333,0.14533333333333331,1e-05,,,0.06133333333333333,1e-05,,1e-05,,,,0.14533333333333331,1e-05,0.043000000000000003,1e-05,,,,,,,Alimentos preparados
553,Vaca atolada,4.138,3.158333333333333,1.2296666666666667,,0.294,2.0973333333333333,1.5743333333333334,0.018,1e-05,,0.04466666666666667,0.211,2.813,0.018,1.111,0.11866666666666666,,,,,0.214,,Alimentos preparados
554,Vatapá,7.497333333333334,9.673000000000002,4.73,0.044333333333333336,0.3406666666666667,4.596333333333334,2.42,0.044333333333333336,,,,0.3403333333333334,9.066666666666668,0.17033333333333334,4.211666666666667,0.3036666666666667,0.05933333333333333,,,,0.14800000000000002,,Alimentos preparados
555,Virado à paulista,8.276999999999997,10.584666666666665,5.121333333333333,0.04900000000000001,0.367,5.1209999999999996,2.642333333333333,0.04900000000000001,,,,0.4403333333333333,9.851333333333333,0.18733333333333335,4.566999999999999,0.31833333333333336,0.065,,,,0.171,,Alimentos preparados
556,Yakisoba,0.5830000000000001,0.8680000000000001,0.9886666666666666,,1e-05,0.39033333333333337,0.19266666666666668,1e-05,,,,0.027333333333333334,0.8406666666666668,1e-05,0.943,0.04566666666666667,,1e-05,,,0.012666666666666666,,Alimentos preparados
557,"Amendoim, grão, cru",8.7,17.2,16.2,,,4.85,1.21,0.56,1.36,0.66,,0.03,16.67,0.45,16.17,0.04,,,,,,,Leguminosas e derivados
558,"Amendoim, torrado, salgado",9.74,29.06,14.233333333333334,,0.04,5.276666666666666,1.2766666666666666,0.6266666666666666,1.52,0.9366666666666666,,,28.153333333333336,0.7933333333333333,14.176666666666668,0.06333333333333334,,,,,,,Leguminosas e derivados
559,"Ervilha, em vagem",1e-05,0.1,0.3,,1e-05,,0.02,1e-05,1e-05,0.01,,1e-05,0.08,1e-05,0.27,0.04,,,,,,,Leguminosas e derivados
